input_name,canonical_name
Arsenal,Arsenal
Aston Villa,Aston Villa
Blackburn,Blackburn
Blackburn Rovers,Blackburn
Bolton,Bolton
Bolton Wanderers,Bolton
Bournemouth,Bournemouth
Brighton,Brighton
Brighton and Hove Albion,Brighton
Brighton & Hove Albion,Brighton
Burnley,Burnley
Cardiff,Cardiff
Cardiff City,Cardiff
Chelsea,Chelsea
Crystal Palace,Crystal Palace
Everton,Everton
Fulham,Fulham
Huddersfield,Huddersfield
Huddersfield Town,Huddersfield
Hull,Hull
Hull City,Hull
Ipswich,Ipswich
Ipswich Town,Ipswich
Leeds,Leeds
Leeds United,Leeds
Leicester,Leicester
Leicester City,Leicester
Liverpool,Liverpool
Luton,Luton
Luton Town,Luton
Man City,Man City
Manchester City,Man City
Man United,Man United
Manchester United,Man United
Middlesbrough,Middlesbrough
Newcastle,Newcastle
Newcastle United,Newcastle
Norwich,Norwich
Norwich City,Norwich
Nott'm Forest,Nott'm Forest
Nottingham Forest,Nott'm Forest
QPR,QPR
Queens Park Rangers,QPR
Reading,Reading
Sheffield United,Sheffield United
Southampton,Southampton
Stoke,Stoke
Stoke City,Stoke
Sunderland,Sunderland
Swansea,Swansea
Swansea City,Swansea
Tottenham,Tottenham
Tottenham Hotspur,Tottenham
Watford,Watford
West Brom,West Brom
West Bromwich Albion,West Brom
West Ham,West Ham
West Ham United,West Ham
Wigan,Wigan
Wigan Athletic,Wigan
Wolves,Wolves
Wolverhampton Wanderers,Wolves
